site,date,race
BWH,2020-02-01,Hispanic
BWH,2020-02-01,Black
BWH,2020-02-01,White
BWH,2020-02-01,Black
BWH,2020-02-02,Black
BWH,2020-02-02,Black
BWH,2020-02-03,Black
BWH,2020-02-03,Black
BWH,2020-02-03,White
BWH,2020-02-03,Black
BWH,2020-02-03,Asian
BWH,2020-02-04,Black
BWH,2020-02-04,Black
BWH,2020-02-04,White
BWH,2020-02-04,Black
BWH,2020-02-05,Black
BWH,2020-02-05,Black
BWH,2020-02-05,Hispanic
BWH,2020-02-05,Asian
BWH,2020-02-05,Asian
BWH,2020-02-05,Black
BWH,2020-02-05,Asian
BWH,2020-02-06,White
BWH,2020-02-06,White
BWH,2020-02-06,Black
BWH,2020-02-06,Hispanic
BWH,2020-02-06,Black
BWH,2020-02-06,White
BWH,2020-02-06,Black
BWH,2020-02-06,Black
BWH,2020-02-07,Black
BWH,2020-02-08,White
BWH,2020-02-08,Black
BWH,2020-02-08,Black
BWH,2020-02-08,Asian
BWH,2020-02-08,Black
BWH,2020-02-08,White
BWH,2020-02-09,Asian
BWH,2020-02-09,White
BWH,2020-02-09,White
BWH,2020-02-09,White
BWH,2020-02-09,White
BWH,2020-02-09,Asian
BWH,2020-02-09,Black
BWH,2020-02-10,Hispanic
BWH,2020-02-10,White
BWH,2020-02-10,Black
BWH,2020-02-10,White
BWH,2020-02-11,White
BWH,2020-02-12,Hispanic
BWH,2020-02-12,White
BWH,2020-02-12,Black
BWH,2020-02-12,White
BWH,2020-02-13,Asian
BWH,2020-02-13,Black
BWH,2020-02-13,Hispanic
BWH,2020-02-14,Hispanic
BWH,2020-02-14,White
BWH,2020-02-14,White
BWH,2020-02-15,White
BWH,2020-02-15,White
BWH,2020-02-15,White
BWH,2020-02-15,White
BWH,2020-02-15,Black
BWH,2020-02-15,Black
BWH,2020-02-15,Asian
BWH,2020-02-15,Asian
BWH,2020-02-16,White
BWH,2020-02-16,White
BWH,2020-02-17,Asian
BWH,2020-02-17,Black
BWH,2020-02-17,Asian
BWH,2020-02-17,Black
BWH,2020-02-18,Asian
BWH,2020-02-18,White
BWH,2020-02-18,Black
BWH,2020-02-18,Black
BWH,2020-02-18,Black
BWH,2020-02-19,Hispanic
BWH,2020-02-19,Asian
BWH,2020-02-19,Asian
BWH,2020-02-19,Asian
BWH,2020-02-19,Black
BWH,2020-02-19,White
BWH,2020-02-19,Black
BWH,2020-02-19,Asian
BWH,2020-02-20,Black
BWH,2020-02-20,Black
BWH,2020-02-20,Black
BWH,2020-02-20,Black
BWH,2020-02-20,Hispanic
BWH,2020-02-20,Black
BWH,2020-02-21,Hispanic
BWH,2020-02-21,Black
BWH,2020-02-21,Black
BWH,2020-02-21,Black
BWH,2020-02-21,Black
BWH,2020-02-21,Black
BWH,2020-02-21,White
BWH,2020-02-22,Asian
BWH,2020-02-22,White
BWH,2020-02-22,Black
BWH,2020-02-22,Hispanic
BWH,2020-02-22,Black
BWH,2020-02-22,Black
BWH,2020-02-22,Hispanic
BWH,2020-02-22,White
BWH,2020-02-23,Black
BWH,2020-02-23,White
BWH,2020-02-24,White
BWH,2020-02-24,Black
BWH,2020-02-24,White
BWH,2020-02-24,Black
BWH,2020-02-24,Black
BWH,2020-02-24,Black
BWH,2020-02-24,Asian
BWH,2020-02-25,White
BWH,2020-02-25,White
BWH,2020-02-25,Hispanic
BWH,2020-02-25,White
BWH,2020-02-25,Black
BWH,2020-02-25,Hispanic
BWH,2020-02-25,Black
BWH,2020-02-25,White
BWH,2020-02-26,White
BWH,2020-02-26,Black
BWH,2020-02-26,Black
BWH,2020-02-26,Hispanic
BWH,2020-02-26,Hispanic
BWH,2020-02-26,Hispanic
BWH,2020-02-26,Black
BWH,2020-02-26,Black
BWH,2020-02-27,Black
BWH,2020-02-27,White
BWH,2020-02-27,White
BWH,2020-02-28,Asian
BWH,2020-02-28,White
BWH,2020-02-28,Black
BWH,2020-02-28,Black
BWH,2020-02-29,Black
BWH,2020-02-29,White
BWH,2020-03-01,Hispanic
BWH,2020-03-02,Black
BWH,2020-03-02,Asian
BWH,2020-03-02,Hispanic
BWH,2020-03-02,Hispanic
BWH,2020-03-02,Black
BWH,2020-03-03,Asian
BWH,2020-03-03,Black
BWH,2020-03-03,Black
BWH,2020-03-04,White
BWH,2020-03-04,Hispanic
BWH,2020-03-04,Hispanic
BWH,2020-03-04,White
BWH,2020-03-05,Black
BWH,2020-03-05,Black
BWH,2020-03-05,Asian
BWH,2020-03-05,Hispanic
BWH,2020-03-05,White
BWH,2020-03-05,White
BWH,2020-03-05,Black
BWH,2020-03-05,Black
BWH,2020-03-06,Black
BWH,2020-03-06,Hispanic
BWH,2020-03-06,Black
BWH,2020-03-06,White
BWH,2020-03-07,Black
BWH,2020-03-07,Black
BWH,2020-03-07,White
BWH,2020-03-07,White
BWH,2020-03-08,Hispanic
BWH,2020-03-08,Black
BWH,2020-03-08,Hispanic
BWH,2020-03-08,White
BWH,2020-03-08,White
BWH,2020-03-08,Black
BWH,2020-03-09,Asian
BWH,2020-03-09,Black
BWH,2020-03-09,Black
BWH,2020-03-09,Black
BWH,2020-03-10,White
BWH,2020-03-10,Asian
BWH,2020-03-10,White
BWH,2020-03-10,Black
BWH,2020-03-10,Black
BWH,2020-03-11,Asian
BWH,2020-03-11,Black
BWH,2020-03-12,White
BWH,2020-03-12,White
BWH,2020-03-12,White
BWH,2020-03-12,Black
BWH,2020-03-12,White
BWH,2020-03-12,Black
BWH,2020-03-12,Black
BWH,2020-03-12,Hispanic
BWH,2020-03-12,Asian
BWH,2020-03-13,Hispanic
BWH,2020-03-13,Black
BWH,2020-03-13,Black
BWH,2020-03-13,Black
BWH,2020-03-13,White
BWH,2020-03-13,Black
BWH,2020-03-13,White
BWH,2020-03-13,Black
BWH,2020-03-13,Black
BWH,2020-03-13,Black
BWH,2020-03-14,Black
BWH,2020-03-14,Asian
BWH,2020-03-14,White
BWH,2020-03-14,Hispanic
BWH,2020-03-14,Black
BWH,2020-03-14,Asian
BWH,2020-03-15,Asian
BWH,2020-03-15,Black
BWH,2020-03-15,Asian
BWH,2020-03-15,Black
BWH,2020-03-15,Black
BWH,2020-03-15,Black
BWH,2020-03-15,Black
BWH,2020-03-15,Hispanic
BWH,2020-03-15,White
BWH,2020-03-15,Asian
BWH,2020-03-16,Asian
BWH,2020-03-16,Black
BWH,2020-03-16,Black
BWH,2020-03-16,White
BWH,2020-03-16,White
BWH,2020-03-16,Black
BWH,2020-03-16,White
BWH,2020-03-16,Black
BWH,2020-03-16,White
BWH,2020-03-16,Hispanic
BWH,2020-03-17,Asian
BWH,2020-03-17,Asian
BWH,2020-03-17,White
BWH,2020-03-17,Black
BWH,2020-03-17,White
BWH,2020-03-17,Black
BWH,2020-03-18,White
BWH,2020-03-18,Hispanic
BWH,2020-03-18,Asian
BWH,2020-03-18,Black
BWH,2020-03-18,White
BWH,2020-03-18,Hispanic
BWH,2020-03-18,White
BWH,2020-03-18,White
BWH,2020-03-18,Black
BWH,2020-03-19,Asian
BWH,2020-03-19,White
BWH,2020-03-19,White
BWH,2020-03-19,Black
BWH,2020-03-19,Black
BWH,2020-03-19,Black
BWH,2020-03-19,Asian
BWH,2020-03-20,Hispanic
BWH,2020-03-20,Asian
BWH,2020-03-20,Black
BWH,2020-03-20,Black
BWH,2020-03-20,Black
BWH,2020-03-20,Asian
BWH,2020-03-21,Black
BWH,2020-03-21,White
BWH,2020-03-21,Black
BWH,2020-03-21,Hispanic
BWH,2020-03-21,Black
BWH,2020-03-21,Black
BWH,2020-03-21,White
BWH,2020-03-21,Asian
BWH,2020-03-21,Black
BWH,2020-03-21,White
BWH,2020-03-22,Hispanic
BWH,2020-03-22,Black
BWH,2020-03-22,Hispanic
BWH,2020-03-23,Black
BWH,2020-03-23,White
BWH,2020-03-23,White
BWH,2020-03-23,Asian
BWH,2020-03-23,Black
BWH,2020-03-23,Hispanic
BWH,2020-03-24,Asian
BWH,2020-03-25,Hispanic
BWH,2020-03-25,Black
BWH,2020-03-25,Black
BWH,2020-03-26,Black
BWH,2020-03-26,Hispanic
BWH,2020-03-26,Black
BWH,2020-03-27,Hispanic
BWH,2020-03-27,Asian
BWH,2020-03-27,White
BWH,2020-03-27,Black
BWH,2020-03-28,White
BWH,2020-03-28,Asian
BWH,2020-03-28,White
BWH,2020-03-28,White
BWH,2020-03-28,Black
BWH,2020-03-28,Black
BWH,2020-03-28,White
BWH,2020-03-28,Black
BWH,2020-03-28,Black
BWH,2020-03-29,Hispanic
BWH,2020-03-29,Asian
BWH,2020-03-29,White
BWH,2020-03-29,Black
BWH,2020-03-29,Black
BWH,2020-03-29,Black
BWH,2020-03-29,Asian
BWH,2020-03-30,Black
BWH,2020-03-30,White
BWH,2020-03-31,White
BWH,2020-03-31,Black
BWH,2020-03-31,White
BWH,2020-04-01,Black
BWH,2020-04-01,White
BWH,2020-04-01,Asian
BWH,2020-04-01,Black
BWH,2020-04-01,Black
BWH,2020-04-01,Black
BWH,2020-04-01,White
BWH,2020-04-02,White
BWH,2020-04-02,Hispanic
BWH,2020-04-02,White
BWH,2020-04-02,White
BWH,2020-04-02,Black
BWH,2020-04-02,Black
BWH,2020-04-03,Hispanic
BWH,2020-04-03,Hispanic
BWH,2020-04-03,Hispanic
BWH,2020-04-04,Black
BWH,2020-04-04,Black
BWH,2020-04-04,White
BWH,2020-04-04,Black
BWH,2020-04-04,Black
BWH,2020-04-04,White
BWH,2020-04-04,Hispanic
BWH,2020-04-05,White
BWH,2020-04-05,White
BWH,2020-04-05,White
BWH,2020-04-06,Asian
BWH,2020-04-06,White
BWH,2020-04-06,Black
BWH,2020-04-06,White
BWH,2020-04-06,Black
BWH,2020-04-07,White
BWH,2020-04-07,Hispanic
BWH,2020-04-07,Asian
BWH,2020-04-07,Black
BWH,2020-04-07,Black
BWH,2020-04-07,Black
BWH,2020-04-07,White
BWH,2020-04-07,Asian
BWH,2020-04-08,White
BWH,2020-04-09,Hispanic
BWH,2020-04-09,Hispanic
BWH,2020-04-09,Hispanic
BWH,2020-04-09,Black
BWH,2020-04-10,Hispanic
BWH,2020-04-10,Hispanic
BWH,2020-04-10,Hispanic
BWH,2020-04-10,Black
BWH,2020-04-10,Hispanic
BWH,2020-04-10,Black
BWH,2020-04-10,Black
BWH,2020-04-10,Black
BWH,2020-04-11,White
BWH,2020-04-11,Black
BWH,2020-04-11,Black
BWH,2020-04-11,Black
BWH,2020-04-11,Black
BWH,2020-04-11,Black
BWH,2020-04-12,Black
BWH,2020-04-12,Hispanic
BWH,2020-04-12,White
BWH,2020-04-13,Asian
BWH,2020-04-13,Black
BWH,2020-04-13,White
BWH,2020-04-13,Black
BWH,2020-04-14,Black
BWH,2020-04-14,Hispanic
BWH,2020-04-14,Black
BWH,2020-04-14,Asian
BWH,2020-04-14,Black
BWH,2020-04-14,Black
BWH,2020-04-15,Black
BWH,2020-04-15,Asian
BWH,2020-04-15,White
BWH,2020-04-15,Black
BWH,2020-04-15,Black
BWH,2020-04-15,Asian
BWH,2020-04-15,Black
BWH,2020-04-16,Hispanic
BWH,2020-04-16,Black
BWH,2020-04-16,White
BWH,2020-04-16,Black
BWH,2020-04-17,Black
BWH,2020-04-17,Black
BWH,2020-04-17,White
BWH,2020-04-18,Black
BWH,2020-04-18,White
BWH,2020-04-18,Black
BWH,2020-04-18,White
BWH,2020-04-18,Black
BWH,2020-04-19,Hispanic
BWH,2020-04-19,Black
BWH,2020-04-19,Hispanic
BWH,2020-04-19,Hispanic
BWH,2020-04-19,White
BWH,2020-04-20,Hispanic
BWH,2020-04-20,Black
BWH,2020-04-20,White
BWH,2020-04-21,Hispanic
BWH,2020-04-21,White
BWH,2020-04-22,Hispanic
BWH,2020-04-22,White
BWH,2020-04-22,Black
BWH,2020-04-22,Hispanic
BWH,2020-04-22,Black
BWH,2020-04-22,Black
BWH,2020-04-22,White
BWH,2020-04-23,Hispanic
BWH,2020-04-23,Asian
BWH,2020-04-23,Black
BWH,2020-04-23,Black
BWH,2020-04-24,Black
BWH,2020-04-24,Asian
BWH,2020-04-24,Asian
BWH,2020-04-24,Hispanic
BWH,2020-04-24,Asian
BWH,2020-04-24,Asian
BWH,2020-04-25,Black
BWH,2020-04-25,Hispanic
BWH,2020-04-25,Hispanic
BWH,2020-04-25,Hispanic
BWH,2020-04-25,Hispanic
BWH,2020-04-25,Asian
BWH,2020-04-25,White
BWH,2020-04-25,Asian
BWH,2020-04-26,Black
BWH,2020-04-26,Hispanic
BWH,2020-04-26,Hispanic
BWH,2020-04-26,Hispanic
BWH,2020-04-26,Black
BWH,2020-04-26,Asian
BWH,2020-04-27,White
BWH,2020-04-27,Black
BWH,2020-04-27,Black
BWH,2020-04-27,Asian
BWH,2020-04-28,Black
BWH,2020-04-28,Black
BWH,2020-04-28,White
BWH,2020-04-28,Asian
BWH,2020-04-29,Black
BWH,2020-04-29,Black
BWH,2020-04-29,Black
BWH,2020-04-29,Black
BWH,2020-04-29,Asian
BWH,2020-04-29,White
BWH,2020-04-29,Black
BWH,2020-04-29,White
BWH,2020-04-29,White
BWH,2020-04-29,Black
BWH,2020-04-30,Hispanic
BWH,2020-04-30,Black
BWH,2020-04-30,Asian
BWH,2020-04-30,Black
BWH,2020-04-30,White
BWH,2020-04-30,White
BWH,2020-04-30,Black
BWH,2020-04-30,White
BWH,2020-04-30,Asian
BWH,2020-05-01,White
BWH,2020-05-01,Hispanic
BWH,2020-05-01,Black
BWH,2020-05-01,Black
BWH,2020-05-01,Hispanic
BWH,2020-05-01,Black
BWH,2020-05-01,White
BWH,2020-05-01,Black
BWH,2020-05-01,Hispanic
BWH,2020-05-02,Asian
BWH,2020-05-02,White
BWH,2020-05-02,Black
BWH,2020-05-02,White
BWH,2020-05-02,Black
BWH,2020-05-03,Black
BWH,2020-05-04,Black
BWH,2020-05-04,Black
BWH,2020-05-04,Hispanic
BWH,2020-05-05,White
BWH,2020-05-05,Black
BWH,2020-05-06,Black
BWH,2020-05-06,Black
BWH,2020-05-06,Hispanic
BWH,2020-05-06,Asian
BWH,2020-05-06,Black
BWH,2020-05-06,Black
BWH,2020-05-06,Black
BWH,2020-05-06,Hispanic
BWH,2020-05-07,White
BWH,2020-05-07,White
BWH,2020-05-07,Black
BWH,2020-05-07,White
BWH,2020-05-07,Black
BWH,2020-05-07,Black
BWH,2020-05-07,White
BWH,2020-05-07,Black
BWH,2020-05-08,Black
BWH,2020-05-08,Black
BWH,2020-05-08,Black
BWH,2020-05-08,Black
BWH,2020-05-08,Hispanic
BWH,2020-05-08,White
BWH,2020-05-08,Hispanic
BWH,2020-05-08,Black
BWH,2020-05-08,Black
BWH,2020-05-09,Black
BWH,2020-05-09,Black
BWH,2020-05-09,Black
BWH,2020-05-09,Black
BWH,2020-05-09,White
BWH,2020-05-09,Black
BWH,2020-05-09,Black
BWH,2020-05-09,Asian
BWH,2020-05-09,White
BWH,2020-05-09,Black
BWH,2020-05-10,Black
BWH,2020-05-10,Black
BWH,2020-05-10,Asian
BWH,2020-05-10,White
BWH,2020-05-11,Black
BWH,2020-05-11,Black
BWH,2020-05-11,Black
BWH,2020-05-12,Asian
BWH,2020-05-13,Asian
BWH,2020-05-13,White
BWH,2020-05-13,Asian
BWH,2020-05-13,White
BWH,2020-05-13,Asian
BWH,2020-05-13,White
BWH,2020-05-13,Black
BWH,2020-05-13,Black
BWH,2020-05-13,Black
BWH,2020-05-13,Black
BWH,2020-05-14,White
BWH,2020-05-14,Black
BWH,2020-05-15,Hispanic
BWH,2020-05-15,White
BWH,2020-05-15,White
BWH,2020-05-15,Black
BWH,2020-05-15,White
BWH,2020-05-15,Black
BWH,2020-05-15,Hispanic
BWH,2020-05-15,Asian
BWH,2020-05-16,Black
BWH,2020-05-16,Black
BWH,2020-05-16,Black
BWH,2020-05-16,Hispanic
BWH,2020-05-17,Black
BWH,2020-05-17,Black
BWH,2020-05-17,Asian
BWH,2020-05-17,Asian
BWH,2020-05-17,Asian
BWH,2020-05-17,Black
BWH,2020-05-18,Black
BWH,2020-05-19,Black
BWH,2020-05-19,Black
BWH,2020-05-19,Black
BWH,2020-05-19,Hispanic
BWH,2020-05-19,White
BWH,2020-05-19,Black
BWH,2020-05-19,Black
BWH,2020-05-19,Black
BWH,2020-05-19,Black
BWH,2020-05-20,Black
BWH,2020-05-20,Black
BWH,2020-05-20,Black
BWH,2020-05-21,Black
BWH,2020-05-21,Black
BWH,2020-05-21,Hispanic
BWH,2020-05-21,Black
BWH,2020-05-21,Hispanic
BWH,2020-05-21,Black
BWH,2020-05-22,Asian
BWH,2020-05-22,White
BWH,2020-05-22,Black
BWH,2020-05-22,White
BWH,2020-05-22,Black
BWH,2020-05-23,White
BWH,2020-05-23,White
BWH,2020-05-23,Hispanic
BWH,2020-05-23,Asian
BWH,2020-05-23,Black
BWH,2020-05-23,Black
BWH,2020-05-23,Black
BWH,2020-05-23,Black
BWH,2020-05-23,White
BWH,2020-05-23,Black
BWH,2020-05-24,Black
BWH,2020-05-24,White
BWH,2020-05-24,White
BWH,2020-05-24,White
BWH,2020-05-24,Asian
BWH,2020-05-24,White
BWH,2020-05-25,White
BWH,2020-05-25,Black
BWH,2020-05-25,Black
BWH,2020-05-25,White
BWH,2020-05-25,Black
BWH,2020-05-25,White
BWH,2020-05-26,Black
BWH,2020-05-26,Black
BWH,2020-05-26,Black
BWH,2020-05-27,White
BWH,2020-05-27,Black
BWH,2020-05-27,White
BWH,2020-05-27,White
BWH,2020-05-28,White
BWH,2020-05-28,White
BWH,2020-05-28,White
BWH,2020-05-28,Black
BWH,2020-05-28,White
BWH,2020-05-28,Black
BWH,2020-05-28,Black
BWH,2020-05-28,Black
BWH,2020-05-28,White
BWH,2020-05-29,Black
BWH,2020-05-29,Black
BWH,2020-05-29,Hispanic
BWH,2020-05-29,White
BWH,2020-05-29,White
BWH,2020-05-29,White
BWH,2020-05-29,White
BWH,2020-05-29,White
BWH,2020-05-29,Black
BWH,2020-05-30,Black
BWH,2020-05-30,White
BWH,2020-05-30,Hispanic
BWH,2020-05-31,Black
BWH,2020-06-01,Black
BWH,2020-06-01,Asian
BWH,2020-06-01,Black
BWH,2020-06-01,White
BWH,2020-06-01,White
BWH,2020-06-01,White
BWH,2020-06-01,Black
BWH,2020-06-01,Black
BWH,2020-06-02,Black
BWH,2020-06-02,White
BWH,2020-06-02,White
BWH,2020-06-02,Hispanic
BWH,2020-06-02,Black
BWH,2020-06-02,Asian
BWH,2020-06-02,Black
BWH,2020-06-02,Black
BWH,2020-06-02,White
BWH,2020-06-02,Black
BWH,2020-06-03,Hispanic
BWH,2020-06-03,Black
BWH,2020-06-03,White
BWH,2020-06-03,Hispanic
BWH,2020-06-03,White
BWH,2020-06-03,Black
BWH,2020-06-03,Black
BWH,2020-06-03,White
BWH,2020-06-03,Asian
BWH,2020-06-03,Black
BWH,2020-06-04,Hispanic
BWH,2020-06-04,Asian
BWH,2020-06-04,White
BWH,2020-06-04,Hispanic
BWH,2020-06-04,Black
BWH,2020-06-05,Hispanic
BWH,2020-06-05,Black
BWH,2020-06-06,Black
BWH,2020-06-06,Asian
BWH,2020-06-06,Black
BWH,2020-06-07,White
BWH,2020-06-08,Black
BWH,2020-06-08,Black
BWH,2020-06-08,Black
BWH,2020-06-09,Black
BWH,2020-06-10,Black
BWH,2020-06-10,Hispanic
BWH,2020-06-10,White
BWH,2020-06-10,White
BWH,2020-06-10,Hispanic
BWH,2020-06-10,Hispanic
BWH,2020-06-10,Asian
BWH,2020-06-11,Hispanic
BWH,2020-06-11,Black
BWH,2020-06-11,Black
BWH,2020-06-11,Black
BWH,2020-06-11,Black
BWH,2020-06-11,Black
BWH,2020-06-11,Black
BWH,2020-06-11,White
BWH,2020-06-11,Hispanic
BWH,2020-06-12,Black
BWH,2020-06-12,Hispanic
BWH,2020-06-12,Black
BWH,2020-06-12,Hispanic
BWH,2020-06-12,White
BWH,2020-06-12,Black
BWH,2020-06-12,Asian
BWH,2020-06-12,Asian
BWH,2020-06-12,Black
BWH,2020-06-13,Asian
BWH,2020-06-13,Black
BWH,2020-06-13,Black
BWH,2020-06-13,Hispanic
BWH,2020-06-13,Black
BWH,2020-06-14,White
BWH,2020-06-14,Black
BWH,2020-06-14,White
BWH,2020-06-14,Black
BWH,2020-06-15,Black
BWH,2020-06-15,Hispanic
BWH,2020-06-15,Black
BWH,2020-06-15,Black
BWH,2020-06-15,Asian
BWH,2020-06-15,Black
BWH,2020-06-15,Black
BWH,2020-06-15,Hispanic
BWH,2020-06-15,Black
BWH,2020-06-15,Asian
BWH,2020-06-16,Hispanic
BWH,2020-06-16,Black
BWH,2020-06-16,Asian
BWH,2020-06-16,Black
BWH,2020-06-16,White
BWH,2020-06-17,White
BWH,2020-06-17,Black
BWH,2020-06-17,Asian
BWH,2020-06-17,Asian
BWH,2020-06-18,Black
BWH,2020-06-18,White
BWH,2020-06-18,Asian
BWH,2020-06-18,Black
BWH,2020-06-18,Black
BWH,2020-06-18,Black
BWH,2020-06-18,Black
BWH,2020-06-18,Hispanic
BWH,2020-06-18,Hispanic
BWH,2020-06-18,Black
BWH,2020-06-19,Black
BWH,2020-06-19,Hispanic
BWH,2020-06-19,White
BWH,2020-06-20,White
BWH,2020-06-20,Black
BWH,2020-06-20,Black
BWH,2020-06-21,Black
BWH,2020-06-21,Black
BWH,2020-06-21,Black
BWH,2020-06-21,Black
BWH,2020-06-21,White
BWH,2020-06-21,Black
BWH,2020-06-21,White
BWH,2020-06-21,Asian
BWH,2020-06-21,White
BWH,2020-06-22,White
BWH,2020-06-22,Black
BWH,2020-06-22,Black
BWH,2020-06-23,White
BWH,2020-06-23,White
BWH,2020-06-23,Hispanic
BWH,2020-06-23,Hispanic
BWH,2020-06-23,White
BWH,2020-06-23,White
BWH,2020-06-24,Hispanic
BWH,2020-06-24,Hispanic
BWH,2020-06-24,Hispanic
BWH,2020-06-24,Hispanic
BWH,2020-06-24,White
BWH,2020-06-24,Asian
BWH,2020-06-24,Black
BWH,2020-06-24,Hispanic
BWH,2020-06-24,Black
BWH,2020-06-25,Hispanic
BWH,2020-06-25,Black
BWH,2020-06-25,Black
BWH,2020-06-25,White
BWH,2020-06-25,White
BWH,2020-06-25,White
BWH,2020-06-26,Black
BWH,2020-06-26,Black
BWH,2020-06-26,Hispanic
BWH,2020-06-27,Black
BWH,2020-06-27,White
BWH,2020-06-27,Black
BWH,2020-06-27,Asian
BWH,2020-06-27,White
